Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Automation Risk 2020 (%),Automation Risk 2021 (%),Automation Risk 2022 (%),Automation Risk 2023 (%),Automation Risk 2024 (%)
Investment analyst,IT,Increasing,Moderate,42109.76,Master’s Degree,5,1515,6342,55.96,28.28,UK,44.63,21.95,21.96,25.3,28.86,26.23
"Journalist, newspaper",Manufacturing,Increasing,Moderate,132298.57,Master’s Degree,15,1243,6205,16.81,89.71,USA,66.39,84.73,93.13,90.53,86.14,91.18
Financial planner,Finance,Increasing,Low,143279.19,Bachelor’s Degree,4,3338,1154,91.82,72.97,Canada,41.13,67.06,67.89,71.34,64.23,65.77
Legal secretary,Healthcare,Increasing,High,97576.13,Associate Degree,15,7173,4060,1.89,99.94,Australia,65.76,93.51,92.26,99.01,94.3,92.81
Aeronautical engineer,IT,Increasing,Low,60956.63,Master’s Degree,13,5944,7396,53.76,37.65,Germany,72.57,36.25,32.86,34.68,31.8,35.17
Legal secretary,Education,Decreasing,Low,39123.32,Master’s Degree,20,6985,7832,77.5,28.99,USA,46.91,27.5,24.86,28.83,26.87,27.95
"Surveyor, insurance",Manufacturing,Decreasing,High,147150.03,High School,7,9738,4360,30.51,7.08,UK,20.14,0.85,6.09,3.94,3.19,7.45
Dentist,Entertainment,Decreasing,High,64245.48,Associate Degree,0,1393,8206,9.74,2.49,Canada,59.27,0,0,0,0,1.5
Emergency planning/management officer,Education,Increasing,High,72488.15,High School,12,7729,4452,38.77,99.56,Australia,60.56,99.62,97.73,97.09,96.91,92.28
Visual merchandiser,Manufacturing,Decreasing,Moderate,95840.3,Associate Degree,16,1127,2375,4.29,69.03,China,48.19,62.46,64.19,70.4,68.66,61.93
Emergency planning/management officer,Manufacturing,Increasing,Moderate,97133.62,Bachelor’s Degree,17,4627,1684,89.49,43.94,China,34.83,40.85,39.65,39.63,44.06,46.05
Housing manager/officer,Entertainment,Decreasing,High,114672.3,High School,12,2800,7964,94.02,20.19,UK,31.9,15.65,13.22,15.64,18.29,20.94
"Geologist, wellsite",Entertainment,Increasing,Moderate,116427.68,PhD,7,1852,3700,32.89,5.54,Australia,56.02,0,1.23,0.7,1.55,5.89
"Runner, broadcasting/film/video",Healthcare,Decreasing,Moderate,43059.04,PhD,2,1824,7625,55.6,13.12,Australia,27.5,12.69,10.58,13.22,12.6,11.3
Press photographer,Entertainment,Decreasing,Moderate,137894.14,Master’s Degree,3,8312,9700,59.95,95.76,India,56.06,92.34,98.49,92.6,100,83.3
"Biochemist, clinical",Entertainment,Increasing,Moderate,67908.84,Master’s Degree,2,1872,5314,93.9,3.19,China,74.67,0,0,0,1.34,0
Town planner,Retail,Decreasing,High,107318.63,Associate Degree,11,7251,1090,15.25,55.15,UK,23.99,48.61,51.6,56.3,51.18,51.43
"Engineer, civil (consulting)",Healthcare,Decreasing,Moderate,101322.09,Associate Degree,17,1044,8832,12.92,64.18,India,56.12,59.46,64.92,63.51,61.17,65.34
Audiological scientist,Transportation,Increasing,Low,109546.76,Master’s Degree,8,5379,8913,82.13,80.62,UK,38.87,77.5,81.62,75.77,77.94,78.38
"Clinical scientist, histocompatibility and immunogenetics",Manufacturing,Decreasing,High,142660.31,Master’s Degree,2,2377,7307,4.29,16.88,India,56.57,8.74,13.31,14.28,14.81,15.37
Music therapist,Education,Increasing,High,122569.29,High School,4,2661,5588,88.17,26.8,India,34.19,20.29,23.23,24.06,23.65,25.78
Advertising copywriter,Retail,Decreasing,High,122668.89,Bachelor’s Degree,14,7291,7469,65.94,7.14,Brazil,74.45,1.98,5.69,3.93,5.24,5.84
Commercial horticulturist,Education,Decreasing,Low,60874.45,Associate Degree,14,5892,369,43.78,95.96,UK,56.8,85.81,94.44,95.17,100,94.77
Secondary school teacher,Finance,Increasing,Moderate,49705.11,PhD,4,5398,3531,20.77,60.11,Germany,49.88,55.11,55.2,52.65,61.49,61.39
"Production assistant, radio",Healthcare,Increasing,Low,59923.23,High School,1,8039,3829,55.19,48.57,China,78.99,48.81,44.2,51.46,43.58,49.89
Armed forces technical officer,Retail,Increasing,Moderate,52060.54,PhD,13,8317,9078,84.29,29.58,India,53.79,30.31,23.62,25.53,28.02,27.48
Youth worker,Retail,Decreasing,Moderate,110077.96,Master’s Degree,18,4286,8248,24.27,20.75,USA,67.62,12.96,17.3,15.8,19.96,17.9
Special effects artist,Education,Decreasing,Moderate,102393.43,PhD,0,348,5612,86.55,18.51,India,48.47,19.2,14.9,16.35,19.18,15.48
Ceramics designer,Transportation,Increasing,High,73318.63,Associate Degree,11,1473,8555,41.11,57.59,Brazil,32.69,51.82,56.61,48.5,55.59,57.13
Animal technologist,Transportation,Decreasing,Moderate,72953.11,Master’s Degree,3,1464,6938,54.24,1.9,Canada,44.82,0,0,0,0.71,1.36
